39;4828405;Avenida Franciso Bolognesi;842907739;842907738;45;79;0.0483497;60;9;1000000;-12.0040393;-77.0592987;-12.003978;-77.0588586
40;4828411;Avenida Industrial;842510813;827153172;48;4;0.053149;40;14;1000000;-12.0032361;-77.0575282;-12.0027642;-77.0576059
41;4828411;Avenida Industrial;827153172;827153164;48;84;0.0502825;40;13;1000000;-12.0027642;-77.0576059;-12.0023155;-77.0576576
42;4828411;Avenida Industrial;827153164;842510801;48;26;0.3806647;40;96;1000000;-12.0023155;-77.0576576;-11.9989257;-77.0581262
43;4828411;Avenida Industrial;842510801;842548359;48;2;0.4157421;40;104;1000000;-11.9989257;-77.0581262;-11.9952315;-77.0587152
44;4828411;Avenida Industrial;842548359;842490632;48;65;0.2353877;40;59;1000000;-11.9952315;-77.0587152;-11.9931402;-77.0590507
45;4828411;Avenida Industrial;842490632;842490892;48;37;0.4149097;40;104;1000000;-11.9931402;-77.0590507;-11.9894548;-77.0596476
46;4828743;Avenida Naranjal;31043944;31069245;58;86;0.6614925;70;95;1000000;-11.976904;-77.0666597;-11.9784351;-77.0722402
47;4828743;Avenida Naranjal;31069245;31069290;58;64;0.015722;70;3;1000000;-11.9784351;-77.0722402;-11.9784413;-77.0723846
48;4828743;Avenida Naranjal;31069290;31045173;58;65;0.48384;70;70;1000000;-11.9784413;-77.0723846;-11.978029;-77.0767577
49;4828802;Avenida Bocanegra;2549104060;1359116595;33;72;0.2459103;60;41;0.0040985;-12.0059743;-77.0976172;-12.0048842;-77.0956674
50;4828802;Avenida Bocanegra;1359116595;1359116531;33;85;0.1184918;60;20;0.0019749;-12.0048842;-77.0956674;-12.0042073;-77.0948263
51;4828802;Avenida Bocanegra;1359116531;1359116526;33;23;0.011372;60;2;0.0001895;-12.0042073;-77.0948263;-12.0041308;-77.0947569
52;4828802;Avenida Bocanegra;1359116526;1359116513;33;22;0.1458649;60;25;0.0024311;-12.0041308;-77.0947569;-12.0035651;-77.0935469
53;4828802;Avenida Bocanegra;1359116513;1359116485;33;23;0.1241484;60;21;0.0020691;-12.0035651;-77.0935469;-12.0031137;-77.0925029
54;4831287;Avenida Santiago Antunez de Mayolo;1359115792;31045013;65;102;0.0355302;60;6;1000000;-11.9970685;-77.0876088;-11.9968748;-77.087349
